,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move_Pos
377,0,0,0,0,0,0,0,0,0,0
378,1,0,0,0,0,0,0,0,0,4
379,1,0,0,0,2,0,0,0,0,2
380,1,0,1,0,2,0,0,0,0,1
381,1,2,1,0,2,0,0,0,0,3
382,1,2,1,1,2,0,0,0,0,6
383,1,2,1,1,2,0,2,0,0,7
384,1,2,1,1,2,0,2,1,0,8
385,1,2,1,1,2,0,2,1,2,5
386,0,0,0,0,0,0,0,0,0,0
387,1,0,0,0,0,0,0,0,0,4
388,1,0,0,0,2,0,0,0,0,2
389,1,0,1,0,2,0,0,0,0,1
390,1,2,1,0,2,0,0,0,0,3
391,1,2,1,1,2,0,0,0,0,6
392,1,2,1,1,2,0,2,0,0,7
393,1,2,1,1,2,0,2,1,0,5
394,1,2,1,1,2,2,2,1,0,8
395,0,0,0,0,0,0,0,0,0,0
396,1,0,0,0,0,0,0,0,0,4
397,1,0,0,0,2,0,0,0,0,5
398,1,0,0,0,2,1,0,0,0,6
399,1,0,0,0,2,1,2,0,0,2
400,1,0,1,0,2,1,2,0,0,1
401,1,2,1,0,2,1,2,0,0,7
402,1,2,1,0,2,1,2,1,0,8
403,1,2,1,0,2,1,2,1,2,3
404,0,0,0,0,0,0,0,0,0,0
405,1,0,0,0,0,0,0,0,0,4
406,1,0,0,0,2,0,0,0,0,1
407,1,1,0,0,2,0,0,0,0,2
408,1,1,2,0,2,0,0,0,0,6
409,1,1,2,0,2,0,1,0,0,3
410,1,1,2,2,2,0,1,0,0,5
411,1,1,2,2,2,1,1,0,0,7
412,1,1,2,2,2,1,1,2,0,8
413,0,0,0,0,0,0,0,0,0,0
414,1,0,0,0,0,0,0,0,0,4
415,1,0,0,0,2,0,0,0,0,2
416,1,0,1,0,2,0,0,0,0,1
417,1,2,1,0,2,0,0,0,0,7
418,1,2,1,0,2,0,0,1,0,5
419,1,2,1,0,2,2,0,1,0,3
420,1,2,1,1,2,2,0,1,0,6
421,1,2,1,1,2,2,2,1,0,8
422,0,0,0,0,0,0,0,0,0,4
423,0,0,0,0,1,0,0,0,0,0
424,2,0,0,0,1,0,0,0,0,6
425,2,0,0,0,1,0,1,0,0,2
426,2,0,2,0,1,0,1,0,0,1
427,2,1,2,0,1,0,1,0,0,7
428,2,1,2,0,1,0,1,2,0,5
429,2,1,2,0,1,1,1,2,0,3
430,2,1,2,2,1,1,1,2,0,8
431,0,0,0,0,0,0,0,0,0,0
432,1,0,0,0,0,0,0,0,0,4
433,1,0,0,0,2,0,0,0,0,2
434,1,0,1,0,2,0,0,0,0,1
435,1,2,1,0,2,0,0,0,0,7
436,1,2,1,0,2,0,0,1,0,5
437,1,2,1,0,2,2,0,1,0,3
438,1,2,1,1,2,2,0,1,0,6
439,1,2,1,1,2,2,2,1,0,8
440,0,0,0,0,0,0,0,0,0,0
441,1,0,0,0,0,0,0,0,0,4
442,1,0,0,0,2,0,0,0,0,6
443,1,0,0,0,2,0,1,0,0,3
444,1,0,0,2,2,0,1,0,0,1
445,1,1,0,2,2,0,1,0,0,2
446,1,1,2,2,2,0,1,0,0,5
447,1,1,2,2,2,1,1,0,0,7
448,1,1,2,2,2,1,1,2,0,8
449,0,0,0,0,0,0,0,0,0,4
450,0,0,0,0,1,0,0,0,0,0
451,2,0,0,0,1,0,0,0,0,6
